Team,pyth13.91,pyth16.50,linearReg,win%
ATL,0.327,0.298,0.307,0.354
BOS,0.637,0.660,0.642,0.598
BRK,0.498,0.497,0.498,0.512
CHI,0.255,0.219,0.230,0.268
CHO,0.466,0.459,0.465,0.476
CLE,0.227,0.190,0.192,0.232
DAL,0.459,0.452,0.459,0.402
DEN,0.624,0.646,0.626,0.659
DET,0.492,0.491,0.492,0.500
GSW,0.687,0.717,0.707,0.695
HOU,0.644,0.669,0.653,0.646
IND,0.607,0.626,0.607,0.585
LAC,0.526,0.531,0.527,0.585
LAL,0.447,0.437,0.445,0.451
MEM,0.415,0.399,0.417,0.402
MIA,0.492,0.491,0.493,0.476
MIL,0.747,0.784,0.784,0.732
MIN,0.454,0.446,0.452,0.439
NOP,0.460,0.453,0.457,0.402
NYK,0.236,0.199,0.205,0.207
OKC,0.603,0.622,0.609,0.598
ORL,0.523,0.527,0.523,0.512
PHI,0.582,0.596,0.586,0.622
PHO,0.239,0.202,0.201,0.232
POR,0.627,0.649,0.634,0.646
SAC,0.466,0.460,0.464,0.476
SAS,0.553,0.562,0.554,0.585
TOR,0.681,0.711,0.695,0.707
UTA,0.662,0.689,0.668,0.610
WAS,0.413,0.398,0.407,0.390
